stock_code,has_cornerstone,cornerstone_total_usd,num_cornerstone_investors,cornerstone_lockup_months,source
00068,True,58000000.0,5.0,,outline
00100,True,350000000.0,2.0,,outline
00300,True,1255650000.0,5.0,,htm_section_pdf
00325,True,50000000.0,8.0,,outline
00470,True,275000000.0,3.0,,outline
00501,True,,7.0,,outline
00600,True,185000000.0,5.0,,outline
00638,True,160641026.0,4.0,,outline
00664,True,,5.0,,outline
00666,False,,,,outline_no_chapter
00699,True,107100000.0,3.0,,outline
00800,False,,,,outline_no_chapter
00805,False,,,,scan_no_chapter
00901,False,,,,outline_no_chapter
00917,True,,5.0,,outline
00999,False,,,,outline_no_chapter
01021,True,98400000.0,5.0,,outline
01081,True,357990000.0,6.0,,outline
01111,False,,,,outline_no_chapter
01187,True,48490000.0,12.0,,outline
01191,True,97869231.0,6.0,,outline
01236,True,35512821.0,3.0,,outline
01274,True,66500000.0,3.0,,outline
01276,True,533000000.0,8.0,,outline
01284,False,,,,outline_no_chapter
01304,True,112000000.0,4.0,,outline
01318,True,100000000.0,3.0,,outline
01333,True,,14.0,,page_scan
01334,True,7410256.0,3.0,,outline
01354,True,6805556.0,4.0,,outline
01364,True,,5.0,6.0,outline
01384,False,,,,outline_no_chapter
01392,False,,,,outline_no_chapter
01405,False,,,,htm_index_no_chapter
01471,True,,4.0,,page_scan
01497,True,16000000.0,4.0,,outline
01511,True,33487179.0,5.0,,outline
01519,True,,9.0,6.0,outline
01541,True,29700000.0,5.0,6.0,outline
01609,True,37000000.0,7.0,,outline
01641,True,2777778.0,4.0,,outline
01688,True,406900000.0,6.0,,outline
01768,True,195000000.0,3.0,,outline
01779,True,87000000.0,4.0,,outline
01828,True,250000000.0,6.0,,outline
01879,True,209900000.0,6.0,,outline
01956,True,,4.0,,outline
01973,True,78100000.0,2.0,,outline
01989,True,190000000.0,7.0,,outline
02026,True,120000000.0,5.0,,outline
02050,True,562000000.0,3.0,,outline
02097,True,200000000.0,5.0,,htm_section_pdf
02105,True,87179487.0,4.0,,outline
02147,False,,,,htm_index_no_chapter
02149,False,,,,outline_no_chapter
02228,True,43294872.0,4.0,,outline
02259,False,,,,outline_no_chapter
02268,True,,7.0,6.0,outline
02271,True,2692308.0,3.0,,outline
02272,False,,,,outline_no_chapter
02290,False,,,,outline_no_chapter
02306,True,19900000.0,4.0,12.0,outline
02335,True,57588462.0,3.0,,outline
02373,True,53880000.0,4.0,,outline
02396,False,,,,outline_no_chapter
02402,True,49692308.0,2.0,6.0,page_scan
02405,False,,,,outline_no_chapter
02408,True,22000000.0,5.0,,outline
02409,True,,3.0,,page_scan
02410,True,,5.0,,outline
02411,True,19230769.0,4.0,,htm_section_pdf
02415,True,40000000.0,4.0,6.0,page_scan
02416,True,,5.0,,outline
02419,True,50000000.0,4.0,,outline
02429,True,,4.0,,outline
02431,True,69256410.0,6.0,,outline
02432,False,,,,outline_no_chapter
02433,False,,,,htm_index_no_chapter
02438,True,12179487.0,5.0,,outline
02439,True,12500000.0,2.0,,htm_section_pdf
02442,False,,,,outline_no_chapter
02443,False,,,,htm_index_no_chapter
02450,False,,,,outline_no_chapter
02451,True,,6.0,,outline
02453,False,,,,outline_no_chapter
02455,True,,4.0,,outline
02458,False,,,,scan_no_chapter
02459,False,,,,outline_no_chapter
02460,True,310000000.0,10.0,,outline
02465,True,,2.0,,page_scan
02469,False,,,,outline_no_chapter
02473,False,,,,scan_no_chapter
02476,True,996750000.0,5.0,,outline
02477,False,,,,scan_no_chapter
02479,True,,5.0,,outline
02480,True,20000000.0,5.0,,outline
02481,True,6944444.0,2.0,,outline
02482,True,8738462.0,1.0,6.0,outline
02483,False,,,,outline_no_chapter
02486,False,,,,scan_no_chapter
02487,True,,3.0,6.0,htm_section_pdf
02489,True,,3.0,,htm_section_pdf
02490,False,,,,outline_no_chapter
02493,True,53000000.0,4.0,,outline
02495,True,,3.0,6.0,outline
02496,True,13592308.0,3.0,6.0,outline
02497,False,,,,outline_no_chapter
02498,True,100000000.0,3.0,,outline
02499,True,13888889.0,1.0,,outline
02501,False,,,,htm_index_no_chapter
02502,True,21000000.0,2.0,,outline
02503,False,,,,scan_no_chapter
02505,True,,4.0,,htm_section_pdf
02506,True,35570000.0,5.0,,outline
02507,True,109153846.0,3.0,,htm_section_pdf
02508,True,,5.0,,outline
02509,True,,4.0,6.0,outline
02510,True,,4.0,,outline
02511,True,13888889.0,3.0,,outline
02512,False,,,,scan_no_chapter
02513,True,382589744.0,4.0,,outline
02515,False,,,,scan_no_chapter
02516,True,,3.0,,htm_section_pdf
02517,True,,3.0,,outline
02519,True,,5.0,,outline
02520,True,20128205.0,4.0,,outline
02521,False,,,,outline_no_chapter
02522,True,,6.0,,outline
02525,True,,5.0,,outline
02526,False,,,,outline_no_chapter
02529,True,,5.0,,outline
02530,False,,,,scan_no_chapter
02531,True,,3.0,,outline
02533,True,9900000.0,2.0,,outline
02535,False,,,,htm_index_no_chapter
02536,True,8974359.0,3.0,,outline
02539,False,,,,outline_no_chapter
02540,False,,,,scan_no_chapter
02543,True,,16.0,6.0,page_scan
02545,False,,,,outline_no_chapter
02546,True,,4.0,,outline
02549,True,40151282.0,2.0,,outline
02550,False,,,,outline_no_chapter
02551,False,,,,htm_index_no_chapter
02553,False,,,,outline_no_chapter
02555,False,,,,outline_no_chapter
02556,True,5040000.0,5.0,6.0,outline
02559,False,,,,outline_no_chapter
02560,True,,5.0,,outline
02561,True,72000000.0,3.0,,outline
02563,True,,5.0,,page_scan
02565,True,,5.0,,outline
02566,True,44871795.0,4.0,6.0,outline
02567,True,,3.0,,outline
02569,False,,,,outline_no_chapter
02570,True,41666667.0,5.0,,outline
02571,True,,4.0,,outline
02573,True,,2.0,,outline
02575,True,,2.0,,outline
02576,False,,,,outline_no_chapter
02577,True,100000000.0,5.0,,outline
02579,True,213500000.0,5.0,,htm_section_pdf
02580,True,124300000.0,5.0,,htm_section_pdf
02581,True,39900000.0,2.0,,outline
02582,True,,5.0,,outline
02583,False,,,,outline_no_chapter
02585,True,,3.0,,page_scan
02586,True,39060000.0,3.0,,htm_section_pdf
02587,True,13194444.0,5.0,,page_scan
02589,True,,4.0,,outline
02590,True,91300000.0,4.0,,outline
02591,True,10000000.0,3.0,,outline
02592,True,22800000.0,4.0,,outline
02593,True,3589744.0,5.0,,outline
02595,True,100000000.0,7.0,,outline
02596,False,,,,outline_no_chapter
02597,True,16846154.0,4.0,,outline
02598,True,46769231.0,2.0,,outline
02603,True,,4.0,,outline
02605,False,,,,outline_no_chapter
02609,True,,4.0,,outline
02610,True,120270000.0,3.0,6.0,outline
02613,True,,5.0,,page_scan
02617,True,15277778.0,5.0,,outline
02619,True,,4.0,,outline
02621,True,6353846.0,5.0,,outline
02625,True,,2.0,,outline
02627,True,13000000.0,6.0,,outline
02629,True,57920000.0,5.0,,outline
02630,False,,,,outline_no_chapter
02631,True,94897436.0,5.0,,outline
02632,True,14096154.0,5.0,,outline
02635,False,,,,outline_no_chapter
02637,True,22000000.0,4.0,,outline
02643,True,,6.0,6.0,outline
02648,True,90000000.0,5.0,,outline
02649,False,,,,outline_no_chapter
02650,False,,,,outline_no_chapter
02651,False,,,,outline_no_chapter
02652,False,,,,outline_no_chapter
02655,True,,2.0,,page_scan
02656,False,,,,outline_no_chapter
02657,True,62000000.0,3.0,,outline
02658,True,20705128.0,3.0,,page_scan
02659,True,25717949.0,2.0,,outline
02661,True,13888889.0,6.0,,outline
02670,False,,,,outline_no_chapter
02671,True,6602564.0,3.0,,page_scan
02672,True,,5.0,,outline
02675,True,75000000.0,7.0,,outline
02676,True,139628205.0,4.0,,outline
02677,True,11640000.0,2.0,,outline
02685,False,,,,outline_no_chapter
02687,False,,,,scan_no_chapter
02691,False,,,,scan_no_chapter
02692,True,80361111.0,21.0,,outline
02693,True,9769231.0,6.0,,outline
02695,False,,,,outline_no_chapter
02697,False,,,,outline_no_chapter
02698,True,139000000.0,4.0,,outline
02701,True,,4.0,,outline
02706,True,,5.0,,outline
02714,True,684858974.0,7.0,,outline
02715,True,66910000.0,4.0,,outline
02718,True,,7.0,,outline
02720,True,16666667.0,5.0,,outline
02723,False,,,,outline_no_chapter
02726,True,,5.0,,outline
02729,False,,,,outline_no_chapter
02768,True,40989744.0,4.0,,outline
02788,True,336000000.0,5.0,,outline
02865,True,63216667.0,5.0,,outline
02881,False,,,,outline_no_chapter
02889,True,59730769.0,3.0,,outline
02898,True,5400000.0,5.0,,outline
03200,True,309800000.0,6.0,,outline
03268,True,58784615.0,5.0,,outline
03277,True,166000000.0,7.0,,outline
03288,True,595000000.0,8.0,,outline
03296,True,,8.0,,outline
03310,True,49871795.0,5.0,,outline
03317,True,39570000.0,5.0,,outline
03355,True,90220000.0,4.0,,outline
03378,True,1388889.0,3.0,6.0,outline
03388,True,88000000.0,6.0,,outline
03625,False,,,,outline_no_chapter
03636,True,60260000.0,3.0,,outline
03650,True,,3.0,,htm_section_pdf
03661,True,293000000.0,12.0,,htm_section_pdf
03677,True,79900000.0,3.0,,outline
03696,True,115000000.0,9.0,,outline
03750,True,2627960000.0,8.0,,outline
03858,True,,4.0,,outline
03880,True,,5.0,,outline
03881,True,70012821.0,3.0,,outline
03887,True,75000000.0,7.0,,outline
03952,True,52030556.0,5.0,,outline
03986,True,299700000.0,5.0,,outline
06031,True,758050000.0,7.0,,outline
06067,True,77520000.0,5.0,,page_scan
06082,True,372500000.0,7.0,,outline
06086,False,,,,outline_no_chapter
06090,True,15000000.0,2.0,,outline
06106,True,59000000.0,5.0,,outline
06132,False,,,,outline_no_chapter
06166,True,290000000.0,5.0,,outline
06168,True,73461538.0,5.0,,outline
06181,True,56000000.0,3.0,6.0,outline
06228,True,,3.0,,outline
06600,True,89743590.0,3.0,,page_scan
06603,True,,8.0,,outline
06613,True,191000000.0,8.0,,outline
06636,True,,6.0,,outline
06651,False,,,,outline_no_chapter
06656,True,279890000.0,7.0,,outline
06657,True,,1.0,,outline
06658,True,18923077.0,4.0,,page_scan
06675,True,36334615.0,5.0,,outline
06681,True,,6.0,,outline
06682,True,96800000.0,3.0,,outline
06683,True,18000000.0,2.0,,outline
06687,True,130000000.0,5.0,,outline
06693,True,95496154.0,6.0,,outline
06715,False,,,,scan_no_chapter
06809,True,450000000.0,7.0,,outline
06810,True,36570000.0,6.0,,outline
06831,True,87330000.0,3.0,,outline
06871,False,,,,outline_no_chapter
06872,True,29800000.0,3.0,,outline
06883,False,,,,outline_no_chapter
06911,True,14871795.0,2.0,,page_scan
06915,True,6410256.0,4.0,,page_scan
06936,True,204800000.0,5.0,,outline
06938,True,100000000.0,5.0,,outline
06959,False,,,,outline_no_chapter
06960,True,,5.0,,outline
06979,False,,,,htm_index_no_chapter
06980,False,,,,outline_no_chapter
06990,True,67300000.0,3.0,,outline
07618,True,,7.0,,htm_section_pdf
07630,True,35870000.0,4.0,,outline
07666,True,148000000.0,2.0,,outline
07688,True,110000000.0,1.0,,outline
09606,True,65000000.0,2.0,,outline
09609,True,27976923.0,5.0,,page_scan
09611,True,56500000.0,5.0,,outline
09630,True,201810000.0,4.0,,outline
09636,True,44000000.0,4.0,,outline
09637,True,81500000.0,2.0,,outline
09639,True,4153846.0,6.0,,outline
09660,True,219800000.0,5.0,,htm_section_pdf
09663,False,,,,outline_no_chapter
09669,False,,,,htm_index_no_chapter
09676,True,,5.0,,outline
09678,True,,5.0,,outline
09680,True,,5.0,12.0,outline
09686,True,30000000.0,5.0,,outline
09690,True,100000000.0,3.0,6.0,htm_section_pdf
09860,True,37170000.0,5.0,,outline
09879,True,53653846.0,3.0,,outline
09880,True,,3.0,,outline
09881,True,,6.0,,outline
09885,True,,1.0,,htm_section_pdf
09887,True,69000000.0,2.0,,outline
09890,True,11398718.0,3.0,,outline
09903,True,,8.0,6.0,page_scan
09927,True,826470000.0,6.0,,outline
09930,True,,7.0,,outline
09973,True,587000000.0,6.0,,outline
09980,True,640000000.0,7.0,,outline
09981,True,124300000.0,5.0,,htm_section_pdf
