bucket,feature,target,type,n,pearson_r,pearson_p,spearman_r,spearman_p,n_true,n_false,mean_true,mean_false,diff,score,test_r,test_p,test_n,test_diff,test_n_true,test_n_false
C: post-day-1,day1_performance_pct,perf_5d_pct,continuous,246,0.8756109256456357,4.485410421575352e-79,0.8706810465466468,3.7508928147323726e-77,,,,,,0.8756109256456357,0.8712036332073687,1.9043973147852264e-21,66.0,,,
C: post-day-1,day1_performance_pct,perf_20d_pct,continuous,246,0.8069874438521369,9.771427215723525e-58,0.7413213612748677,3.805193231205763e-44,,,,,,0.8069874438521369,0.8072988541461609,3.3220731340116247e-14,57.0,,,
C: post-day-1,day1_performance_pct,perf_1m_pct,continuous,246,0.802738115252435,1.0502854430053182e-56,0.7488448227831649,1.7403331054221694e-45,,,,,,0.802738115252435,0.7980918525904889,6.29104821231529e-14,58.0,,,
C: post-day-1,day1_open_premium_pct,perf_5d_pct,continuous,246,0.7707775966203994,1.1144097986051146e-49,0.7700902223349119,1.5328595837714068e-49,,,,,,0.7707775966203994,0.767984767761596,5.286596415605383e-14,66.0,,,
C: post-day-1,day1_open_premium_pct,perf_20d_pct,continuous,246,0.6964111405405342,5.066952673915015e-37,0.6480672103342489,1.07845610858233e-30,,,,,,0.6964111405405342,0.6815966266438441,5.334612496349068e-09,57.0,,,
C: post-day-1,day1_open_premium_pct,perf_1m_pct,continuous,246,0.6937510934366221,1.2174707590428826e-36,0.6539331498706711,2.1215095832129107e-31,,,,,,0.6937510934366221,0.6614812293662471,1.5791397300826064e-08,58.0,,,
C: post-day-1,day1_performance_pct,perf_3m_pct,continuous,246,0.6081326746876367,2.851522774494682e-26,0.6060464666545554,4.6674864505417683e-26,,,,,,0.6081326746876367,0.3443146444837202,0.0369075595111235,37.0,,,
C: post-day-1,day1_open_premium_pct,perf_3m_pct,continuous,246,0.5162371347970975,3.706618033945298e-18,0.5344227367557501,1.4318370409841292e-19,,,,,,0.5162371347970975,0.21648090571890105,0.1981186590013629,37.0,,,
B: day-1-eve,times_oversubscribed_retail,perf_5d_pct,continuous,240,0.40646436001641906,5.793646901828625e-11,0.3293260038784733,1.7733640080301925e-07,,,,,,0.40646436001641906,0.34296422705119234,0.005531682789912949,64.0,,,
C: post-day-1,day1_open_to_close_pct,perf_20d_pct,continuous,246,0.37028846177336905,2.0659723334062085e-09,0.35983214747516135,6.2173049729866874e-09,,,,,,0.37028846177336905,0.36932630881594947,0.004694460765104386,57.0,,,
C: post-day-1,day1_open_to_close_pct,perf_1m_pct,continuous,246,0.36811174457320794,2.6070510348455606e-09,0.35882764676549467,6.897125451095154e-09,,,,,,0.36811174457320794,0.4002629076019913,0.0018505400718685627,58.0,,,
C: post-day-1,day1_open_to_close_pct,perf_5d_pct,continuous,246,0.35462830860974914,1.0601837187066138e-08,0.33099499834991497,1.0630550590631487e-07,,,,,,0.35462830860974914,0.39390703770176544,0.00106654134618473,66.0,,,
B: day-1-eve,num_valid_retail_applicants,perf_5d_pct,continuous,236,0.3228679070090691,3.9762018113841477e-07,0.2581041860520826,6.015266717592385e-05,,,,,,0.3228679070090691,0.3285589099511471,0.009127454013633896,62.0,,,
B: day-1-eve,times_oversubscribed_retail,perf_20d_pct,continuous,240,0.30421946195561117,1.5657099043130933e-06,0.2454360574951536,0.00012236017443791988,,,,,,0.30421946195561117,0.3212788528295304,0.016769321944204257,55.0,,,
B: day-1-eve,times_oversubscribed_retail,perf_1m_pct,continuous,240,0.2952236457522332,3.2578940581065377e-06,0.24745020142538962,0.00010711379678417339,,,,,,0.2952236457522332,0.3082570180360419,0.020813277695919265,56.0,,,
A: subscription-time,prior5_day1_mean,perf_1m_pct,continuous,243,0.2773983181684559,1.1421782673510258e-05,0.16692773648703793,0.009132709417205814,,,,,,0.2773983181684559,0.03244823211713324,0.8089331615928663,58.0,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_5d_pct,continuous,246,-0.2717960771840241,1.539923952167252e-05,-0.3105073661169371,6.741291483990199e-07,,,,,,0.2717960771840241,-0.15039242281298076,0.2280802067039576,66.0,,,
C: post-day-1,day1_open_to_close_pct,perf_3m_pct,continuous,246,0.2674715361663764,2.1236619621808416e-05,0.33253199235514724,9.20353336042548e-08,,,,,,0.2674715361663764,0.3894901221691336,0.017180909887910892,37.0,,,
B: day-1-eve,num_valid_retail_applicants,perf_20d_pct,continuous,236,0.25990947180198226,5.3161275881387554e-05,0.20415950466284924,0.0016161261964530028,,,,,,0.25990947180198226,0.2929859403093082,0.033248103184983814,53.0,,,
B: day-1-eve,num_valid_retail_applicants,perf_1m_pct,continuous,236,0.25596959524274165,6.953439984411066e-05,0.2082157988687987,0.0012952967782397754,,,,,,0.25596959524274165,0.3454378857096139,0.010517647925025408,54.0,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_1m_pct,continuous,246,-0.25236388567975576,6.254522876726057e-05,-0.23740863824575947,0.00017092113596785892,,,,,,0.25236388567975576,-0.1290704968943721,0.33423414042084476,58.0,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_20d_pct,continuous,246,-0.2484273152857127,8.199096421502483e-05,-0.22694590840796242,0.00033282646868806345,,,,,,0.2484273152857127,-0.12437016524705766,0.3566552556615674,57.0,,,
A: subscription-time,prior5_day1_mean,day1_performance_pct,continuous,245,0.22948985386564508,0.00029213542432250265,0.17791020385047746,0.005225260284619858,,,,,,0.22948985386564508,0.07985686270237176,0.47297654811775347,83.0,,,
C: post-day-1,day1_volume_vs_free_float_pct,perf_5d_pct,continuous,246,0.19288081507645802,0.002378449383007078,0.21160731307316016,0.0008379987026177795,,,,,,0.19288081507645802,0.5728961451624457,6.131449635202797e-07,65.0,,,
A: subscription-time,lead_broker_is_global_bank,perf_3m_pct,binary,246,,0.0017350760833160766,,,57.0,189.0,17.207531899218317,59.063503975662684,-41.85597207644437,41.85597207644437,,,,40.712237435517935,10.0,27.0
A: subscription-time,lead_broker_is_global_bank,perf_1m_pct,binary,246,,0.0024665274292781938,,,57.0,189.0,7.530701019495203,34.41266848953232,-26.881967470037118,26.881967470037118,,,,-20.119505618849225,17.0,41.0
A: subscription-time,lead_broker_is_global_bank,day1_performance_pct,binary,248,,0.005665225690539828,,,58.0,190.0,6.623448275862071,22.79947368421053,-16.17602540834846,16.17602540834846,,,,-19.789563492063486,20.0,63.0
