stock_code,factor,source
02402,1.0,"hkex_export(488d overlap, first 2024-07-04)"
02459,1.0,"hkex_export(477d overlap, first 2024-07-19)"
02473,1.0,"hkex_export(477d overlap, first 2024-07-19)"
02477,,
02490,,
02497,,
02881,,
00917,,
06086,,
02591,,
03881,,
02691,1.0,"hkex_export(125d overlap, first 2025-12-22)"
02650,,
09980,,
02768,1.0,"hkex_export(96d overlap, first 2026-02-04)"
03296,,
01879,1.0,"hkex_export(43d overlap, first 2026-04-28)"
06810,,
01392,1.0,"dayquot(2026-06-22, raw_close=26.7)"
02672,1.0,"dayquot(2026-06-29, raw_close=73.05)"
