stock_code,t_day1_date,t_open,t_close,t_high,t_low,t_volume,yahoo_day1_close,factor
02469,2023-01-09,10.5,11.1,12.1,10.26,11805000.0,11.100000381469728,1.0
02402,2023-01-12,60.0,60.0,60.5,58.45,1822100.0,42.85714340209961,1.4
02147,2023-01-13,0.74,0.56,0.77,0.56,196248000.0,11.199999809265137,0.05
02458,2023-01-16,5.0,5.75,6.15,5.0,3924790.0,5.75,1.0
02411,2023-01-16,6.52,6.0,7.12,6.0,19622590.0,6.0,1.0
02373,2023-01-16,30.5,29.65,32.9,28.05,15236000.0,29.649999618530273,1.0
02459,2023-01-17,1.68,1.78,1.96,1.67,57276500.0,14.890021324157717,0.1195
02455,2023-01-17,1.38,1.26,1.4,1.26,18696000.0,1.2599999904632568,1.0
02306,2023-01-19,5.6,6.03,6.48,5.3,52467100.0,6.03000020980835,1.0
02450,2023-01-20,1.21,1.06,1.27,1.06,47025000.0,1.059999942779541,1.0
02482,2023-03-09,2.81,2.84,2.9,2.7,13315000.0,2.8399999141693115,1.0
09636,2023-03-10,17.02,17.14,17.14,16.56,13967684.0,17.139999389648438,1.0
01405,2023-03-28,46.0,45.95,46.5,45.85,1662300.0,45.95000076293945,1.0
02409,2023-03-29,3.28,2.58,3.31,2.58,37156000.0,2.5799999237060547,1.0
02433,2023-03-30,2.92,2.67,3.09,2.4,47247000.0,2.6700000762939453,1.0
02439,2023-03-31,0.65,0.68,0.77,0.64,111442000.0,0.6800000071525574,1.0
02405,2023-03-31,0.76,0.84,0.88,0.61,74876000.0,0.8399999737739563,1.0
09669,2023-04-13,29.6,26.1,29.8,19.02,7265400.0,26.100000381469727,1.0
06979,2023-04-27,9.0,8.88,9.97,8.82,111155200.0,8.880000114440918,1.0
02415,2023-04-27,8.85,9.2,9.47,8.6,6280550.0,9.199999809265137,1.0
02480,2023-05-08,31.5,22.0,31.6,22.0,2796200.0,22.0,1.0
02442,2023-05-09,0.87,0.98,1.06,0.84,48022000.0,0.9800000190734864,1.0
02486,2023-05-11,10.4,7.99,10.4,6.8,7290800.0,7.989999771118164,1.0
02416,2023-05-25,9.46,9.88,9.98,9.16,1171000.0,9.880000114440918,1.0
09930,2023-05-25,3.26,3.21,3.74,3.13,3544610.0,3.2100000381469727,1.0
02487,2023-06-12,21.8,21.95,22.05,19.0,1319600.0,21.950000762939453,1.0
09885,2023-06-28,23.05,21.1,23.3,20.55,3722800.0,21.100000381469727,1.0
02105,2023-06-29,12.44,15.0,15.4,12.42,2822000.0,15.0,1.0
09860,2023-06-30,12.32,13.8,13.8,12.02,3373000.0,13.800000190734863,1.0
02481,2023-07-10,3.6,3.6,3.62,3.32,10561000.0,3.5999999046325684,1.0
06990,2023-07-11,60.6,62.5,64.5,60.6,2002300.0,62.5,1.0
03650,2023-07-12,30.3,29.0,32.0,28.55,1890200.0,29.0,1.0
06683,2023-07-13,5.75,5.26,6.3,5.2,22968700.0,5.260000228881836,1.0
01284,2023-07-17,0.92,0.92,0.92,0.92,0.0,0.9300000071525574,0.9892
02271,2023-07-18,1.22,1.21,1.22,1.12,38124000.0,1.2100000381469729,1.0
01541,2023-09-05,21.2,19.52,22.0,19.3,894500.0,19.520000457763672,1.0
02490,2023-09-25,5.13,5.1,5.13,4.88,2709000.0,2.4700000286102295,2.0648
02496,2023-09-25,16.4,16.0,16.8,16.0,1519600.0,19.440000534057617,0.823
09690,2023-09-26,28.0,29.5,29.8,28.0,3787600.0,29.5,1.0
09890,2023-09-28,13.78,14.0,14.5,13.48,5412400.0,14.0,1.0
09686,2023-09-28,3.69,2.72,3.7,2.72,6301000.0,2.7200000286102295,1.0
