stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02469,Fenbi Ltd.,2023-01-09,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1223/2022122300005.pdf,,2022-12-23 06:13:00,pdfs/02469/prospectus_0.pdf,True
02469,Fenbi Ltd.,2023-01-09,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1223/2022122300007.pdf,,2022-12-23 06:18:00,pdfs/02469/prospectus_1.pdf,True
02469,Fenbi Ltd.,2023-01-09,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0106/10569217/2023010600012.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0106/2023010600010.htm,2023-01-06 06:20:00,pdfs/02469/allotment_0.pdf,True
02469,Fenbi Ltd.,2023-01-09,over_allotment_exercise,,,,,,False
02469,Fenbi Ltd.,2023-01-09,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS, END OF STABILIZATION PERIOD AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0129/2023012900007.pdf,,2023-01-29 18:05:00,pdfs/02469/stabilization_0.pdf,True
02402,"Beijing SinoHytec Co., Ltd.",2023-01-12,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1229/2022122900013.pdf,,2022-12-29 06:07:00,pdfs/02402/prospectus_0.pdf,True
02402,"Beijing SinoHytec Co., Ltd.",2023-01-12,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1229/2022122900047.pdf,,2022-12-29 06:09:00,pdfs/02402/prospectus_1.pdf,True
02402,"Beijing SinoHytec Co., Ltd.",2023-01-12,allotment,Announcements and Notices - [Allotment Results] - Announcement of Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0111/10573259/2023011100008.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0111/2023011100006.htm,2023-01-11 06:09:00,pdfs/02402/allotment_0.pdf,True
02402,"Beijing SinoHytec Co., Ltd.",2023-01-12,over_allotment_exercise,,,,,,False
02402,"Beijing SinoHytec Co., Ltd.",2023-01-12,stabilization,"Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0206/2023020600005.pdf,,2023-02-06 07:46:00,pdfs/02402/stabilization_0.pdf,True
02147,Zhengwei Group Holdings Company Limited,2023-01-13,prospectus,Listing Documents - [Offer for Subscription] - SHARE OFFER,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000061.pdf,,2022-12-30 06:19:00,pdfs/02147/prospectus_0.pdf,True
02147,Zhengwei Group Holdings Company Limited,2023-01-13,prospectus,Listing Documents - [Offer for Subscription] - SHARE OFFER,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/10556116/2022123000085.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000080.htm,2022-12-30 06:42:00,pdfs/02147/prospectus_1.pdf,True
02147,Zhengwei Group Holdings Company Limited,2023-01-13,prospectus,Listing Documents - [Offer for Subscription] - Green Application Form,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000205.pdf,,2022-12-30 06:47:00,pdfs/02147/prospectus_2.pdf,True
02147,Zhengwei Group Holdings Company Limited,2023-01-13,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0112/10574338/2023011200016.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0112/2023011200014.htm,2023-01-12 06:30:00,pdfs/02147/allotment_0.pdf,True
02147,Zhengwei Group Holdings Company Limited,2023-01-13,over_allotment_exercise,,,,,,False
