stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02469,Fenbi Ltd.,2023-01-09,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1223/2022122300005.pdf,,2022-12-23 06:13:00,pdfs/02469/prospectus_0.pdf,True
02469,Fenbi Ltd.,2023-01-09,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1223/2022122300007.pdf,,2022-12-23 06:18:00,pdfs/02469/prospectus_1.pdf,True
02469,Fenbi Ltd.,2023-01-09,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0106/10569217/2023010600012.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0106/2023010600010.htm,2023-01-06 06:20:00,pdfs/02469/allotment_0.pdf,True
02469,Fenbi Ltd.,2023-01-09,over_allotment_exercise,,,,,,False
02469,Fenbi Ltd.,2023-01-09,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS, END OF STABILIZATION PERIOD AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0129/2023012900007.pdf,,2023-01-29 18:05:00,pdfs/02469/stabilization_0.pdf,True
02480,"Beijing Luzhu Biotechnology Co., Ltd.",2023-05-08,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042500041.pdf,,2023-04-25 06:37:00,pdfs/02480/prospectus_0.pdf,True
02480,"Beijing Luzhu Biotechnology Co., Ltd.",2023-05-08,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042500039.pdf,,2023-04-25 06:37:00,pdfs/02480/prospectus_1.pdf,True
02480,"Beijing Luzhu Biotechnology Co., Ltd.",2023-05-08,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Results,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0505/10727095/2023050500010.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0505/2023050500008.htm,2023-05-05 06:17:00,pdfs/02480/allotment_0.pdf,True
02480,"Beijing Luzhu Biotechnology Co., Ltd.",2023-05-08,over_allotment_exercise,,,,,,False
02480,"Beijing Luzhu Biotechnology Co., Ltd.",2023-05-08,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS, END OF STABILIZATION PERIOD AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0528/2023052800097.pdf,,2023-05-28 18:17:00,pdfs/02480/stabilization_0.pdf,True
02487,Cutia Therapeutics,2023-06-12,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/2023053100049.pdf,,2023-05-31 06:18:00,pdfs/02487/prospectus_0.pdf,True
02487,Cutia Therapeutics,2023-06-12,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/2023053100055.pdf,,2023-05-31 06:22:00,pdfs/02487/prospectus_1.pdf,True
02487,Cutia Therapeutics,2023-06-12,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/10753466/2023053100179.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/2023053100174.htm,2023-05-31 08:29:00,pdfs/02487/prospectus_2.pdf,True
02487,Cutia Therapeutics,2023-06-12,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0609/10768739/2023060900018.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0609/2023060900016.htm,2023-06-09 06:23:00,pdfs/02487/allotment_0.pdf,True
02487,Cutia Therapeutics,2023-06-12,over_allotment_exercise,,,,,,False
